iter	Passed	Remaining
394	1166	1786
395	1170	1785
396	1173	1782
397	1175	1778
398	1178	1775
399	1185	1778
400	1190	1779
401	1194	1776
402	1200	1778
403	1202	1774
404	1204	1770
405	1208	1767
406	1215	1770
407	1218	1768
408	1223	1768
409	1231	1771
410	1236	1771
411	1239	1768
412	1241	1764
413	1246	1763
414	1247	1759
415	1249	1754
416	1251	1749
417	1253	1745
418	1255	1740
419	1258	1738
420	1261	1735
421	1263	1730
422	1265	1725
423	1267	1721
424	1269	1717
425	1270	1712
426	1275	1711
427	1280	1710
428	1283	1708
429	1289	1709
430	1292	1705
431	1293	1701
432	1295	1696
433	1297	1692
434	1299	1687
435	1301	1683
436	1305	1681
437	1307	1677
438	1309	1673
439	1310	1668
440	1312	1663
441	1314	1659
442	1316	1654
443	1320	1653
444	1322	1649
445	1324	1645
446	1326	1641
447	1328	1637
448	1331	1633
449	1338	1636
450	1343	1635
451	1345	1631
452	1350	1631
453	1353	1627
454	1355	1623
455	1356	1618
456	1358	1614
457	1360	1609
458	1362	1605
459	1366	1603
460	1368	1599
461	1369	1595
462	1371	1590
463	1373	1586
464	1375	1582
465	1377	1578
466	1381	1576
467	1383	1572
468	1384	1568
469	1386	1563
470	1388	1559
471	1390	1555
472	1392	1551
473	1396	1549
474	1398	1545
475	1400	1541
476	1401	1537
477	1403	1532
478	1405	1528
479	1407	1524
480	1411	1523
481	1413	1519
482	1415	1515
483	1417	1511
484	1419	1507
485	1421	1502
486	1424	1501
487	1428	1498
488	1430	1495
489	1432	1491
490	1434	1487
491	1436	1483
492	1441	1482
493	1443	1478
494	1445	1474
495	1446	1470
496	1448	1466
497	1450	1461
498	1452	1457
499	1456	1456
500	1458	1452
501	1460	1448
502	1461	1444
503	1463	1440
504	1465	1436
505	1470	1435
506	1472	1431
507	1474	1427
508	1476	1423
509	1477	1420
510	1479	1416
511	1481	1412
512	1486	1411
513	1488	1407
514	1490	1403
515	1492	1399
516	1493	1395
517	1495	1391
518	1499	1389
519	1501	1386
520	1504	1382
521	1506	1379
522	1508	1375
523	1510	1372
524	1516	1371
525	1518	1368
526	1519	1364
527	1521	1360
528	1523	1356
529	1525	1352
530	1527	1349
531	1531	1347
532	1533	1343
533	1534	1339
534	1536	1335
535	1538	1331
536	1540	1328
537	1542	1324
538	1546	1322
539	1547	1318
540	1549	1314
541	1551	1310
542	1553	1307
543	1555	1304
544	1559	1302
545	1562	1299
546	1564	1295
547	1565	1291
548	1568	1288
549	1569	1284
550	1572	1281
551	1576	1279
552	1577	1275
553	1580	1272
554	1581	1268
555	1583	1264
556	1585	1260
557	1587	1257
558	1590	1254
559	1592	1251
560	1594	1247
561	1596	1243
562	1597	1240
563	1599	1236
564	1603	1234
565	1605	1231
566	1607	1227
567	1609	1224
568	1611	1220
569	1612	1216
570	1614	1213
571	1618	1211
572	1620	1207
573	1622	1204
574	1624	1200
575	1626	1197
576	1628	1193
577	1630	1190
578	1634	1188
579	1636	1185
580	1638	1181
581	1640	1178
582	1642	1174
583	1643	1170
584	1645	1167
585	1650	1165
586	1651	1162
587	1653	1158
588	1655	1155
589	1657	1151
590	1659	1148
591	1661	1144
592	1665	1142
593	1667	1139
594	1668	1136
595	1670	1132
596	1672	1129
597	1674	1125
598	1676	1122
599	1680	1120
600	1682	1116
601	1683	1113
602	1685	1109
603	1687	1106
604	1689	1102
605	1690	1099
606	1694	1097
607	1696	1094
608	1698	1090
609	1700	1087
610	1702	1083
611	1704	1080
612	1706	1077
613	1709	1074
614	1711	1071
615	1713	1067
616	1714	1064
617	1716	1061
618	1718	1057
619	1722	1055
620	1724	1052
621	1726	1049
622	1728	1046
623	1730	1042
624	1732	1039
625	1734	1035
626	1739	1034
627	1741	1031
628	1742	1028
629	1744	1024
630	1746	1021
631	1748	1017
632	1751	1015
633	1755	1013
634	1757	1010
635	1759	1006
636	1761	1003
637	1763	1000
638	1768	999
639	1770	996
640	1772	992
641	1774	989
642	1776	986
643	1778	982
644	1780	979
645	1783	977
646	1785	974
647	1787	970
648	1789	967
649	1790	964
650	1792	961
651	1795	958
652	1799	955
653	1801	953
654	1803	950
655	1806	947
656	1807	943
657	1809	940
658	1813	938
659	1815	935
660	1816	931
661	1818	928
662	1820	925
663	1822	922
664	1824	919
665	1827	916
666	1829	913
667	1831	910
668	1833	907
669	1835	903
670	1836	900
671	1839	897
672	1842	895
673	1844	892
674	1846	889
675	1848	885
676	1850	882
677	1851	879
678	1853	876
679	1858	874
680	1860	871
681	1861	868
682	1863	865
683	1865	861
684	1867	858
685	1869	855
686	1873	853
687	1874	850
688	1876	847
689	1878	843
690	1880	840
691	1881	837
692	1883	834
693	1887	832
694	1889	829
695	1891	826
696	1893	822
697	1894	819
698	1896	816
699	1898	813
700	1902	811
701	1904	808
702	1906	805
703	1907	802
704	1909	799
705	1911	796
706	1913	792
707	1917	790
708	1920	788
709	1922	785
710	1923	781
711	1925	778
712	1927	775
713	1929	772
714	1932	770
715	1935	767
716	1937	764
717	1938	761
718	1940	758
719	1942	755
720	1944	752
721	1946	749
722	1948	746
723	1950	743
724	1951	740
725	1953	737
726	1955	734
727	1957	731
728	1960	728
729	1962	725
730	1964	722
731	1966	719
732	1968	716
733	1969	713
734	1972	711
735	1976	708
736	1978	705
737	1980	702
738	1982	700
739	1983	697
740	1985	694
741	1987	690
742	1991	689
743	1994	686
744	1995	683
745	1997	680
746	1999	677
747	2001	674
748	2003	671
749	2006	668
750	2008	665
751	2010	662
752	2012	660
753	2013	657
754	2015	654
755	2017	651
756	2022	649
757	2023	646
758	2025	643
759	2027	640
760	2029	637
761	2030	634
762	2032	631
763	2036	629
764	2038	626
765	2040	623
766	2042	620
767	2044	617
768	2045	614
769	2047	611
770	2051	609
771	2053	606
772	2055	603
773	2057	600
774	2059	597
775	2060	594
776	2062	592
777	2066	589
778	2068	586
779	2070	583
780	2072	581
781	2073	578
782	2075	575
783	2077	572
784	2081	570
785	2083	567
786	2084	564
787	2086	561
788	2088	558
789	2090	555
790	2091	552
791	2096	550
792	2097	547
793	2099	544
794	2101	541
795	2103	539
796	2104	536
797	2106	533
798	2108	530
799	2112	528
800	2114	525
801	2116	522
802	2117	519
803	2119	516
804	2121	513
805	2122	510
806	2127	508
807	2129	505
808	2130	503
809	2132	500
810	2134	497
811	2136	494
812	2137	491
813	2142	489
814	2144	486
815	2146	483
816	2147	481
817	2149	478
818	2151	475
819	2153	472
820	2156	470
821	2158	467
822	2160	464
823	2163	462
824	2176	461
825	2180	459
826	2183	456
827	2189	454
828	2192	452
829	2194	449
830	2195	446
831	2197	443
832	2201	441
833	2203	438
834	2205	435
835	2207	433
836	2209	430
837	2211	427
838	2213	424
839	2217	422
840	2218	419
841	2220	416
842	2222	413
843	2224	411
844	2226	408
845	2228	405
846	2233	403
847	2235	400
848	2237	398
849	2239	395
850	2241	392
851	2243	389
852	2248	387
853	2250	384
854	2252	382
855	2254	379
856	2256	376
857	2258	373
858	2262	371
859	2264	368
860	2266	365
861	2268	363
862	2270	360
863	2272	357
864	2274	354
865	2278	352
866	2280	349
867	2281	346
868	2283	344
869	2285	341
870	2287	338
871	2288	335
872	2292	333
873	2294	330
874	2296	328
875	2298	325
876	2300	322
877	2302	319
878	2303	317
879	2307	314
880	2309	311
881	2311	309
882	2312	306
883	2315	303
884	2316	301
885	2318	298
886	2322	295
887	2324	293
888	2326	290
889	2328	287
890	2330	285
891	2331	282
892	2333	279
893	2337	277
894	2339	274
895	2341	271
896	2343	269
897	2345	266
898	2346	263
899	2348	260
900	2352	258
901	2354	255
902	2356	253
903	2358	250
904	2360	247
905	2362	245
906	2363	242
907	2367	239
908	2369	237
909	2371	234
910	2372	231
911	2374	229
912	2376	226
913	2378	223
914	2382	221
915	2384	218
916	2386	215
917	2388	213
918	2389	210
919	2391	207
920	2393	205
921	2397	202
922	2399	200
923	2400	197
924	2402	194
925	2404	192
926	2406	189
927	2407	186
928	2413	184
929	2416	181
930	2418	179
931	2420	176
932	2422	173
933	2424	171
934	2428	168
935	2430	166
936	2432	163
937	2433	160
938	2435	158
939	2437	155
940	2439	152
941	2443	150
942	2445	147
943	2447	145
944	2448	142
945	2450	139
946	2452	137
947	2454	134
948	2458	132
949	2459	129
950	2461	126
951	2463	124
952	2465	121
953	2467	118
954	2468	116
955	2472	113
956	2474	111
957	2476	108
958	2478	105
959	2480	103
960	2481	100
961	2483	98
962	2488	95
963	2490	92
964	2491	90
965	2493	87
966	2495	85
967	2497	82
968	2499	79
969	2503	77
970	2505	74
971	2507	72
972	2508	69
973	2510	67
974	2512	64
975	2514	61
976	2518	59
977	2519	56
978	2521	54
979	2523	51
980	2525	48
981	2527	46
982	2528	43
983	2532	41
984	2534	38
985	2536	36
986	2539	33
987	2541	30
988	2543	28
989	2547	25
990	2549	23
991	2551	20
992	2553	17
993	2555	15
994	2556	12
995	2559	10
996	2563	7
997	2565	5
998	2567	2
999	2568	0
